ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,flights,avg_arrival_delay,delayed_15_pct
GPT,Gulfport-Biloxi International Airport,30.40728,-89.07009,3809,1.3599369913363086,14.18
GRB,Green Bay-Austin Straubel International Airport,44.48507,-88.12959,5208,3.613479262672811,16.24
GRI,Central Nebraska Regional Airport,40.96747,-98.30861,662,-0.27492447129909364,15.41
GRK,Killeen-Fort Hood Regional Airport,31.0649,-97.8278,4230,5.0049645390070925,16.0
GRR,Gerald R. Ford International Airport,42.88082,-85.52277,11463,1.607694320858414,15.6
GSO,Piedmont Triad International Airport,36.09775,-79.9373,7055,5.542593905031892,18.8
GSP,Greenville-Spartanburg International Airport,34.89567,-82.21886,7006,2.655866400228376,15.09
GST,Gustavus Airport,58.42438,-135.70738,76,21.763157894736842,44.74
GTF,Great Falls International Airport,47.482,-111.37069,2134,-1.2282099343955013,9.14
GTR,Golden Triangle Regional Airport,33.45033,-88.59137,1000,7.681,19.6
GUC,Gunnison-Crested Butte Regional Airport,38.53396,-106.93318,472,8.625,23.09
GUM,Guam International Airport,13.48345,-144.79598,360,4.575,16.94
HDN,Yampa Valley Airport (Yampa Valley Regional),40.48118,-107.21766,706,8.157223796033994,22.66
HIB,Range Regional Airport (Chisholm-Hibbing Airport),47.3866,-92.83899,961,-1.2622268470343392,12.7
HLN,Helena Regional Airport,46.60682,-111.98275,1560,-2.1455128205128204,9.42
HNL,Honolulu International Airport,21.31869,-157.92241,46707,0.5786284711071146,10.51
HOB,Lea County Regional Airport,32.68753,-103.21703,600,2.756666666666667,12.17
HOU,William P. Hobby Airport,29.64542,-95.27889,55813,7.163743213946572,21.14
HPN,Westchester County Airport,41.06696,-73.70757,7850,9.087898089171974,24.23
HRL,Valley International Airport,26.22851,-97.65439,3301,1.2853680702817327,11.6
HSV,Huntsville International Airport,34.64045,-86.77311,4812,2.904821280133001,15.11
HYA,Barnstable Municipal Airport,41.66934,-70.28036,82,8.621951219512194,19.51
HYS,Hays Regional Airport,38.84494,-99.27403,610,2.6721311475409837,17.7
IAD,Washington Dulles International Airport,38.94453,-77.45581,36643,4.505307971508883,20.07
IAG,Niagara Falls International Airport,43.10726,-78.94538,334,3.7005988023952097,22.16
IAH,George Bush Intercontinental Airport,29.98047,-95.33972,157110,6.906339507351537,20.79
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),37.64996,-97.43305,8567,6.240574296719972,18.73
IDA,Idaho Falls Regional Airport,43.51456,-112.07017,2426,-2.530502885408079,10.72
ILG,Wilmington Airport,39.67872,-75.60653,95,24.063157894736843,38.95
ILM,Wilmington International Airport,34.27061,-77.90256,2052,3.439571150097466,13.99
IMT,Ford Airport,45.81835,-88.11454,662,-1.3806646525679758,11.18
IND,Indianapolis International Airport,39.71733,-86.29438,27409,1.8575650333831952,15.79
INL,Falls International Airport,48.56619,-93.40307,608,5.161184210526316,12.5
ISN,Sloulin Field International Airport,48.17794,-103.64235,2699,0.4972211930344572,14.71
ISP,Long Island MacArthur Airport,40.79524,-73.10021,4604,1.8562119895742832,16.57
ITH,Ithaca Tompkins Regional Airport,42.49103,-76.45844,30,7.9,16.67
ITO,Hilo International Airport,19.72026,-155.04847,6211,0.20850104653034937,8.18
JAC,Jackson Hole Airport,43.60732,-110.73774,3602,2.159078289838978,16.19
JAN,Jackson-Evers International Airport,32.31117,-90.07589,7548,3.513116057233704,17.01
JAX,Jacksonville International Airport,30.49406,-81.68786,19478,3.2917650682821646,15.85
JFK,John F. Kennedy International Airport (New York International Airport),40.63975,-73.77893,99918,3.1688684721471607,21.54
JLN,Joplin Regional Airport,37.15181,-94.49827,687,7.983988355167394,20.38
JMS,Jamestown Regional Airport,46.92972,-98.6782,818,2.0488997555012225,16.5
JNU,Juneau International Airport,58.35496,-134.57628,4361,5.5512497133684935,18.34
KOA,Kona International Airport at Keahole,19.73877,-156.04563,12018,-0.3914128806789815,10.26
KTN,Ketchikan International Airport,55.35557,-131.71374,2467,3.2533441426834213,18.12
LAN,Capital Region International Airport ( Lansing Capital City),42.7787,-84.58736,2019,5.659237246161466,18.13
LAR,Laramie Regional Airport,41.31205,-105.67499,608,-4.332236842105263,11.84
LAS,McCarran International Airport,36.08036,-115.15233,144586,5.654198885092609,20.2
LAW,Lawton-Fort Sill Regional Airport,34.56771,-98.41664,1355,6.5040590405904055,16.97
