ROUTE,ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,flights,delayed_flights,avg_arrival_delay,delayed_15_rate,delayed_15_pct,adjusted_delay_rate,adjusted_delay_pct,flights_normalized,avg_arrival_delay_positive,avg_delay_normalized,delay_impact_score,cluster,pca_1,pca_2
PDX-OGG,PDX,Portland International Airport,OGG,Kahului Airport,45.58872,-122.5975,20.89865,-156.43046,623,73,5.613162118780096,0.117174959871589,11.72,0.1267096638987941,12.67,4.222011385199241,5.613162118780096,1.4732708973176103,8.88,2,-2.9686972980976982,0.27754004572317836
ATL-ROC,ATL,Hartsfield-Jackson Atlanta International Airport,ROC,Greater Rochester International Airport,33.64044,-84.42694,43.11887,-77.67238,1054,112,7.313092979127135,0.1062618595825427,10.63,0.1131811845743744,11.32,7.142857142857142,7.313092979127135,1.9194469761488544,8.87,2,-2.88434125789389,0.5143612167999042
ROC-ATL,ROC,Greater Rochester International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,43.11887,-77.67238,33.64044,-84.42694,1050,108,11.872380952380952,0.1028571428571428,10.29,0.1100965973902853,11.01,7.115749525616698,11.872380952380952,3.1161104861892266,8.85,2,-2.43164868902967,0.1248472851983771
MSP-CMH,MSP,Minneapolis-Saint Paul International Airport,CMH,Port Columbus International Airport,44.88055,-93.21692,39.99799,-82.89188,521,61,7.095969289827256,0.1170825335892514,11.71,0.1281982077275815,12.82,3.530767145567905,7.095969289827256,1.862459131188256,8.85,2,-2.820287268584864,0.06955937032501233
PIT-FLL,PIT,Pittsburgh International Airport,FLL,Fort Lauderdale-Hollywood International Airport,40.49147,-80.23287,26.07258,-80.15275,794,88,8.095717884130982,0.1108312342569269,11.08,0.1192517751664744,11.93,5.380862022228246,8.095717884130982,2.1248603370422527,8.82,2,-2.7739835859668998,0.22782049410194108
OGG-KOA,OGG,Kahului Airport,KOA,Kona International Airport at Keahole,20.89865,-156.43046,19.73877,-156.04563,907,100,5.460859977949284,0.1102535832414553,11.03,0.117786580932302,11.78,6.146652209270806,5.460859977949284,1.4332965821389196,8.82,2,-3.0604895465464517,0.5501525032316376
MSP-ISN,MSP,Minneapolis-Saint Paul International Airport,ISN,Sloulin Field International Airport,44.88055,-93.21692,48.17794,-103.64235,1133,117,7.252427184466019,0.1032656663724624,10.33,0.1099846609885061,11.0,7.678232583355923,7.252427184466019,1.9035241953979052,8.81,2,-2.9361145737835517,0.5983772079483584
GSP-IAH,GSP,Greenville-Spartanburg International Airport,IAH,George Bush Intercontinental Airport,34.89567,-82.21886,29.98047,-95.33972,553,62,10.978300180831829,0.1121157323688969,11.21,0.1234473001513447,12.34,3.747628083491461,10.978300180831829,2.8814436170162274,8.77,2,-2.4703466543906947,-0.2151373690894633
BHM-DAL,BHM,Birmingham-Shuttlesworth International Airport,DAL,Dallas Love Field,33.56294,-86.75355,32.84711,-96.85177,734,82,7.1730245231607626,0.1117166212534059,11.17,0.1206367949626236,12.06,4.974247763621578,7.1730245231607626,1.8826836018794653,8.76,2,-2.882616489814383,0.2634583517272335
SNA-PDX,SNA,John Wayne Airport (Orange County Airport),PDX,Portland International Airport,33.67566,-117.86822,45.58872,-122.5975,1290,128,6.1465116279069765,0.0992248062015503,9.92,0.1054756021574303,10.55,8.742206560043373,6.1465116279069765,1.6132576451199414,8.76,2,-3.1079646958660265,0.8364855272405607
