experiment,accuracy,precision,recall,f1,roc_auc,train_rows_before,train_rows_after,train_rows_removed,train_rows_removed_pct
baseline_keep_extremes,0.9254631775104271,0.7502386454983923,0.8986835176408636,0.8177791773057413,0.9672665151258331,4285506.0,4285506.0,0.0,0.0
robust_scaler_keep_extremes,0.9253518721009841,0.7499128895250831,0.8985669149176259,0.817537357487154,0.9672203017130151,4285506.0,4285506.0,0.0,0.0
remove_train_outside_p01_p99,0.920342428642032,0.7311268705942433,0.9046904385766945,0.8087009295045836,0.9672160766273115,4285506.0,3999570.0,285936.0,0.06672164267183385
winsorize_p01_p99,0.92460073559575,0.7469720346552898,0.8995975325359211,0.816211124799929,0.9671738813768728,4285506.0,4285506.0,0.0,0.0
remove_train_outside_p05_p95,0.9058258231350044,0.6859046950377098,0.9112991800195591,0.7826983091147567,0.9646462727982851,4285506.0,2801585.0,1483921.0,0.34626506181533756
winsorize_p05_p95,0.9166938513211742,0.7244606933571361,0.8914278191529377,0.799318035794689,0.964276448352423,4285506.0,4285506.0,0.0,0.0
