k,inertia,silhouette_score,recommended_by_elbow,routes_used,route_min_flights
2,10491.338976624984,0.37797102506337626,False,2928,500
3,7078.739790715799,0.3975005511050411,False,2928,500
4,5412.41963814544,0.3483987792446654,True,2928,500
5,4493.680813603941,0.36145058010918435,False,2928,500
6,3862.482357534348,0.3237886337269319,False,2928,500
7,3412.3551357485553,0.3322434559708197,False,2928,500
8,3095.520470810735,0.29628805204793485,False,2928,500
9,2809.388014004877,0.30239424486850325,False,2928,500
10,2573.800178163846,0.30914420879270954,False,2928,500
